Time,"Conductivity, mS","Temperature, C"
14:39:16,1.077,28.3
0,0,0
0,0,0
14:39:18,1.077,28.4
0,0,0
0,0,0
14:39:20,1.077,28.4
0,0,0
0,0,0
14:39:22,1.076,28.4
0,0,0
0,0,0
14:39:24,1.075,28.4
0,0,0
0,0,0
14:39:26,1.075,28.4
0,0,0
0,0,0
14:39:28,1.075,28.4
0,0,0
0,0,0
14:39:30,1.075,28.4
0,0,0
0,0,0
14:39:32,1.075,28.5
0,0,0
0,0,0
14:39:34,1.074,28.5
0,0,0
0,0,0
14:39:36,1.074,28.5
0,0,0
0,0,0
14:39:38,1.073,28.5
0,0,0
0,0,0
14:39:40,1.072,28.5
0,0,0
0,0,0
14:39:42,1.072,28.5
0,0,0
0,0,0
14:39:44,1.071,28.5
0,0,0
0,0,0
14:39:46,1.071,28.6
0,0,0
0,0,0
14:39:48,1.07,28.6
0,0,0
0,0,0
14:39:50,1.07,28.6
0,0,0
0,0,0
14:39:52,1.069,28.6
0,0,0
0,0,0
14:39:54,1.069,28.6
0,0,0
0,0,0
14:39:56,1.068,28.6
0,0,0
0,0,0
14:39:58,1.069,28.6
0,0,0
0,0,0
14:40:00,1.069,28.6
0,0,0
0,0,0
14:40:02,1.069,28.6
0,0,0
0,0,0
14:40:04,1.069,28.6
0,0,0
0,0,0
14:40:06,1.069,28.6
0,0,0
0,0,0
14:40:08,1.068,28.6
0,0,0
0,0,0
14:40:10,1.068,28.6
0,0,0
0,0,0
