Time,Data No,Conductivity (mS)
16:01:52,0,0.28
16:01:58,1,0.3
16:02:04,2,0.3
16:02:10,3,0.3
16:02:16,4,0.3
16:02:22,5,0.29
16:02:28,6,0.31
16:02:34,7,0.3
16:02:40,8,0.31
16:02:46,9,0.3
16:02:52,10,0.3
16:02:58,11,0.31
16:03:04,12,0.31
16:03:07,13,
16:03:10,14,0.3
16:03:16,15,0.3
16:03:22,16,0.31
16:03:28,17,0.3
16:03:34,18,0.3
16:03:40,19,0.3
16:03:46,20,0.3
16:03:52,21,0.31
16:03:58,22,0.3
16:04:04,23,0.3
16:04:10,24,0.3
16:04:16,25,0.31
16:04:22,26,0.31
16:04:28,27,0.3
16:04:34,28,0.3
16:04:40,29,0.31
16:04:46,30,0.31
16:04:52,31,0.31
16:04:58,32,0.3
16:05:04,33,0.31
16:05:10,34,0.3
16:05:16,35,0.3
16:05:22,36,0.31
16:05:28,37,0.31
16:05:34,38,0.31
16:05:40,39,0.31
16:05:46,40,0.31
16:05:52,41,0.3
16:05:58,42,0.31
16:06:04,43,0.3
16:06:10,44,0.3
16:06:16,45,0.31
16:06:22,46,0.3
16:06:28,47,0.31
16:06:34,48,0.3
16:06:40,49,0.31
16:06:46,50,0.3
16:06:52,51,0.3
16:06:58,52,0.01
16:07:04,53,0
16:07:10,54,0.76
16:07:16,55,0.79
16:07:22,56,0.87
16:07:28,57,0.83
16:07:34,58,0.79
16:07:40,59,0.87
16:07:46,60,0.87
16:07:52,61,0.87
16:07:58,62,0.79
16:08:04,63,0.87
16:08:10,64,0.87
16:08:16,65,0.79
16:08:22,66,0.83
16:08:28,67,0.76
16:08:34,68,0.79
16:08:40,69,0.79
16:08:46,70,0.79
16:08:52,71,0.79
16:08:58,72,0.83
16:09:04,73,0.79
16:09:10,74,0.83
16:09:16,75,0.76
16:09:22,76,0.79
16:09:28,77,0.79
16:09:34,78,0.79
16:09:40,79,0.79
16:09:46,80,0.79
16:09:52,81,0.83
16:09:58,82,0.83
16:10:04,83,0.83
16:10:10,84,0.79
16:10:16,85,0.79
16:10:22,86,0.83
16:10:28,87,0.79
16:10:31,88,
16:10:34,89,0.83
16:10:40,90,0.76
16:10:46,91,0.91
16:10:52,92,0.79
16:10:58,93,0.79
16:11:04,94,0.79
16:11:10,95,0.83
16:11:16,96,0.87
16:11:22,97,0.79
16:11:28,98,0.83
16:11:34,99,0.87
16:11:40,100,0.87
16:11:46,101,0.79
16:11:52,102,0.79
16:11:58,103,0.79
16:12:04,104,0.83
16:12:10,105,0.79
16:12:16,106,0.83
16:12:22,107,0.83
16:12:28,108,0.83
16:12:34,109,0.79
16:12:40,110,0.83
16:12:46,111,0.83
16:12:52,112,0.83
16:12:58,113,0.83
16:13:04,114,0.83
16:13:10,115,0.79
16:13:16,116,0.79
16:13:22,117,0.87
16:13:28,118,0.83
16:13:34,119,0.83
16:13:40,120,0.87
16:13:46,121,0.83
16:13:52,122,0.79
16:13:58,123,0.76
16:14:04,124,0.87
16:14:10,125,0.76
16:14:16,126,0.87
16:14:22,127,0.79
16:14:28,128,0.83
16:14:34,129,0.79
16:14:40,130,0.83
16:14:46,131,0.87
16:14:52,132,0
16:14:58,133,0
16:15:04,134,0
16:15:10,135,0
16:15:16,136,1.84
16:15:22,137,2.05
16:15:28,138,0.87
16:15:34,139,1.41
16:15:40,140,1.22
16:15:46,141,1.41
16:15:52,142,1.22
16:15:58,143,1.41
16:16:04,144,1.22
16:16:10,145,1.15
16:16:16,146,1.22
16:16:22,147,1.22
16:16:28,148,1.31
16:16:34,149,1.22
16:16:40,150,1.31
16:16:46,151,1.15
16:16:49,152,
16:16:52,153,1.22
16:16:58,154,1.15
16:17:04,155,1.31
16:17:10,156,1.15
16:17:16,157,1.22
16:17:22,158,1.53
16:17:28,159,1.31
16:17:34,160,1.31
16:17:40,161,1.31
16:17:46,162,1.41
16:17:52,163,1.22
16:17:58,164,1.31
16:18:04,165,1.41
16:18:10,166,1.41
16:18:16,167,1.41
16:18:22,168,1.31
16:18:28,169,1.31
16:18:34,170,1.41
16:18:40,171,1.22
16:18:46,172,1.41
16:18:52,173,1.15
16:18:58,174,1.15
16:19:04,175,1.31
16:19:10,176,1.22
16:19:16,177,1.22
16:19:22,178,1.31
16:19:28,179,1.31
16:19:34,180,1.41
16:19:40,181,1.31
16:19:46,182,1.22
16:19:52,183,1.41
16:19:55,184,
16:19:58,185,1.31
16:20:04,186,1.41
16:20:10,187,1.31
16:20:16,188,1.41
16:20:22,189,1.41
16:20:28,190,1.31
16:20:34,191,1.53
16:20:40,192,1.31
16:20:46,193,1.41
16:20:52,194,1.41
16:20:58,195,1.31
16:21:04,196,1.31
16:21:10,197,1.22
16:21:16,198,1.31
16:21:22,199,1.31
16:21:28,200,1.31
16:21:34,201,1.31
16:21:40,202,1.31
16:21:46,203,1.31
16:21:52,204,1.15
16:21:58,205,1.31
16:22:04,206,1.31
16:22:10,207,1.22
16:22:16,208,1.22
16:22:22,209,1.41
16:22:28,210,1.53
16:22:34,211,1.31
16:22:40,212,1.41
16:22:46,213,1.31
16:22:52,214,1.41
16:22:58,215,1.41
16:23:04,216,1.22
16:23:10,217,1.31
16:23:16,218,1.31
16:23:22,219,1.22
16:23:28,220,1.31
16:23:34,221,1.31
16:23:37,222,
16:23:40,223,1.31
16:23:46,224,1.41
16:23:52,225,1.53
16:23:58,226,1.31
16:24:04,227,1.22
16:24:10,228,1.41
16:24:16,229,1.31
16:24:19,230,
16:24:22,231,1.41
16:24:28,232,1.31
16:24:34,233,1.41
16:24:40,234,1.31
16:24:46,235,1.41
16:24:52,236,1.41
16:24:58,237,1.53
16:25:04,238,1.31
16:25:10,239,1.31
16:25:16,240,1.31
16:25:22,241,1.41
16:25:28,242,1.41
16:25:34,243,1.41
16:25:40,244,1.31
16:25:46,245,1.41
16:25:52,246,1.22
16:25:58,247,1.22
16:26:04,248,1.15
16:26:10,249,1.53
16:26:16,250,1.53
16:26:22,251,1.31
16:26:28,252,1.15
16:26:34,253,1.31
16:26:40,254,1.22
16:26:46,255,1.15
16:26:52,256,1.53
16:26:58,257,1.31
16:27:04,258,1.41
16:27:10,259,1.41
16:27:16,260,1.41
16:27:22,261,1.31
16:27:28,262,1.41
16:27:34,263,1.41
16:27:40,264,1.22
16:27:46,265,1.31
16:27:52,266,1.41
16:27:58,267,1.53
16:28:04,268,1.41
16:28:10,269,1.41
16:28:16,270,1.31
16:28:22,271,1.31
16:28:28,272,1.41
16:28:34,273,1.31
16:28:40,274,1.53
16:28:46,275,1.22
16:28:52,276,1.31
16:28:58,277,1.41
16:29:04,278,1.53
