Time,Temperature_1,Temperature_2
14:42:14,102.75,102.5
14:42:20,102.5,102.5
14:42:26,102.5,102.5
14:42:32,102.25,102.5
14:42:38,102,102.75
14:42:44,102.25,102.25
14:42:50,102,102.75
14:42:56,102.25,102.5
14:43:02,102.5,102.25
14:43:08,102.5,102.25
14:43:14,102.5,102.5
14:43:20,101.75,102.25
14:43:26,102.75,103
14:43:32,102.75,102.5
14:43:38,102.75,103
14:43:44,102.25,102.5
14:43:50,102.75,103
14:43:56,102.75,103
14:44:02,102.75,103
14:44:08,103,102.75
14:44:14,102.75,102.25
14:44:20,102.75,102.75
14:44:26,103,102.75
14:44:32,102.75,102.5
14:44:38,102.75,102.25
14:44:44,102.25,102.5
14:44:50,102.5,102.5
14:44:56,102.25,102.75
14:45:02,102.5,102.25
,102.52,102.58
15:30:01,2.5,2.5
15:30:07,3,2.25
15:30:13,3,2.5
15:30:19,2.5,2.5
15:30:25,2.5,2.5
15:30:31,3.25,2.5
15:30:37,3,2.5
15:30:43,2.25,2.5
15:30:49,2.5,2.5
15:30:55,2.5,2.5
15:31:01,2.75,2.75
15:31:07,3,2.25
15:31:13,3,2.5
15:31:19,2.5,2.5
15:31:25,2.25,2.75
15:31:31,2.25,2.25
15:31:37,3,2.5
15:31:43,2.75,2.5
15:31:49,2.25,2.25
15:31:55,2.5,2.5
15:32:01,3,2.5
15:32:07,2.75,2.5
15:32:13,2.75,2
15:32:19,2.75,2.5
15:32:25,3,2.5
15:32:31,2.5,2.5
15:32:37,2.5,2.25
15:32:43,3,2.25
15:32:49,2.75,2.25
15:32:55,3,2.5
15:33:01,2.75,2.5
15:33:07,2.75,2.5
15:33:13,2.75,2.5
15:33:19,3,2.25
15:33:25,3,2.25
15:33:31,2.75,2.5
15:33:37,2.5,2.5
,2.72,2.43
